profile_id,algorithm,run,step,fitness
1,GA,1,1,31988.572885606096
1,GA,1,2,31988.572885606096
1,GA,1,3,30607.949841275182
1,GA,1,4,20094.280086953
1,GA,1,5,14959.469324976886
1,GA,1,6,11936.025653894436
1,GA,1,7,10455.634386193831
1,GA,1,8,8436.652867523668
1,GA,1,9,8288.961137344133
1,GA,1,10,7794.961137344133
1,GA,1,11,7645.938293922331
1,GA,1,12,7211.338739107485
1,GA,1,13,6464.973450316507
1,GA,1,14,6464.973450316507
1,GA,1,15,6142.133741082309
1,GA,1,16,6121.442652076363
1,GA,1,17,5870.009447718114
1,GA,1,18,5724.009447718114
1,GA,1,19,5537.306590862028
1,GA,1,20,5285.59515015724
1,GA,1,21,5065.078040122457
1,GA,1,22,4949.078040122457
1,GA,1,23,4762.078040122457
1,GA,1,24,4762.078040122457
1,GA,1,25,4734.078040122457
1,GA,1,26,4608.078040122457
1,GA,1,27,4595.078040122457
1,GA,1,28,4503.078040122457
1,GA,1,29,4441.23947836396
1,GA,1,30,4349.065145166169
1,GA,1,31,4292.614538427233
1,GA,1,32,4130.0
1,GA,1,33,4041.0
1,GA,1,34,3975.0
1,GA,1,35,3975.0
1,GA,1,36,3961.0
1,GA,1,37,3961.0
1,GA,1,38,3958.0
1,GA,1,39,3935.0
1,GA,1,40,3935.0
1,GA,1,41,3934.0
1,GA,1,42,3930.0
1,GA,1,43,3927.0
1,GA,1,44,3927.0
1,GA,1,45,3911.0
1,GA,1,46,3911.0
1,GA,1,47,3889.0
1,GA,1,48,3886.0
1,GA,1,49,3886.0
1,GA,1,50,3886.0
1,GA,1,51,3886.0
1,GA,1,52,3879.0
1,GA,1,53,3878.0
1,GA,1,54,3877.0
1,GA,1,55,3867.0
1,GA,1,56,3865.0
1,GA,1,57,3865.0
1,GA,1,58,3865.0
1,GA,1,59,3862.0
1,GA,1,60,3862.0
1,GA,1,61,3861.0
1,GA,1,62,3861.0
1,GA,1,63,3861.0
1,GA,1,64,3861.0
1,GA,1,65,3861.0
1,GA,1,66,3861.0
1,GA,1,67,3861.0
1,GA,1,68,3861.0
1,GA,1,69,3861.0
1,GA,1,70,3860.0
1,GA,1,71,3860.0
1,GA,1,72,3860.0
1,GA,1,73,3860.0
1,GA,1,74,3860.0
1,GA,1,75,3860.0
1,GA,1,76,3860.0
1,GA,1,77,3860.0
1,GA,1,78,3860.0
1,GA,1,79,3858.0
1,GA,1,80,3858.0
1,GA,1,81,3858.0
1,GA,1,82,3858.0
1,GA,1,83,3858.0
1,GA,1,84,3858.0
1,GA,1,85,3858.0
1,GA,1,86,3858.0
1,GA,1,87,3858.0
1,GA,1,88,3857.0
1,GA,1,89,3857.0
1,GA,1,90,3857.0
1,GA,1,91,3857.0
1,GA,1,92,3857.0
1,GA,1,93,3857.0
1,GA,1,94,3857.0
1,GA,1,95,3857.0
1,GA,1,96,3857.0
1,GA,1,97,3857.0
1,GA,1,98,3857.0
1,GA,1,99,3857.0
1,GA,1,100,3857.0
1,GA,1,101,3857.0
1,GA,1,102,3855.0
1,GA,1,103,3855.0
1,GA,1,104,3855.0
1,GA,1,105,3855.0
1,GA,1,106,3855.0
1,GA,1,107,3855.0
1,GA,1,108,3855.0
1,GA,1,109,3855.0
1,GA,1,110,3855.0
1,GA,1,111,3855.0
1,GA,1,112,3855.0
1,GA,1,113,3855.0
1,GA,1,114,3855.0
1,GA,1,115,3855.0
1,GA,1,116,3855.0
1,GA,1,117,3855.0
1,GA,1,118,3853.0
1,GA,1,119,3853.0
1,GA,1,120,3853.0
1,GA,1,121,3853.0
1,GA,1,122,3853.0
1,GA,1,123,3853.0
1,GA,1,124,3853.0
1,GA,1,125,3853.0
1,GA,1,126,3852.0
1,GA,1,127,3852.0
1,GA,1,128,3852.0
1,GA,1,129,3852.0
1,GA,1,130,3852.0
1,GA,1,131,3852.0
1,GA,1,132,3851.0
1,GA,1,133,3851.0
1,GA,1,134,3851.0
1,GA,1,135,3851.0
1,GA,1,136,3851.0
1,GA,1,137,3851.0
