profile_id,algorithm,run,fitness,time_s,target_cal,achieved_cal,cal_penalty,days_cal_ok,days_macro_ok,hard_constraints_ok,allergy_violations,dislike_violations,likes_included
1,GA,1,3851.0,8.02460527420044,2700.0,2699.86,0.0,7,7,True,0,0,0
1,GA,2,3851.0,8.010548114776611,2700.0,2700.14,0.0,7,7,True,0,0,0
1,GA,3,3852.0,8.171113967895508,2700.0,2700.0,0.0,7,7,True,0,0,0
1,GA,4,3851.0,8.083633184432983,2700.0,2700.14,0.0,7,7,True,0,0,0
1,GA,5,3850.0,8.025328397750854,2700.0,2700.0,0.0,7,7,True,0,0,0
1,GA,6,3852.0,7.993389844894409,2700.0,2700.0,0.0,7,7,True,0,0,0
1,GA,7,3852.0,8.104190587997437,2700.0,2699.71,0.0,7,7,True,0,0,0
1,GA,8,3852.0,9.085767269134521,2700.0,2700.0,0.0,7,7,True,0,0,0
1,GA,9,3852.0,8.902172088623047,2700.0,2699.71,0.0,7,7,True,0,0,0
1,GA,10,3850.0,12.649267435073853,2700.0,2700.0,0.0,7,7,True,0,0,0
1,GA,11,3854.0,11.117414236068726,2700.0,2700.57,0.0,7,7,True,0,0,0
1,GA,12,3852.0,9.521660327911377,2700.0,2700.0,0.0,7,7,True,0,0,0
1,GA,13,3854.0,8.672899961471558,2700.0,2699.71,0.0,7,7,True,0,0,0
1,GA,14,3852.0,8.696282386779785,2700.0,2700.0,0.0,7,7,True,0,0,0
1,GA,15,3853.0,8.934313535690308,2700.0,2699.86,0.0,7,7,True,0,0,0
1,GA,16,3850.0,9.024757623672485,2700.0,2700.0,0.0,7,7,True,0,0,0
1,GA,17,3852.0,8.973078489303589,2700.0,2700.0,0.0,7,7,True,0,0,0
1,GA,18,3855.0,9.195613622665405,2700.0,2700.43,0.0,7,7,True,0,0,0
1,GA,19,3852.0,9.429028272628784,2700.0,2700.0,0.0,7,7,True,0,0,0
1,GA,20,3851.0,9.675370931625366,2700.0,2700.14,0.0,7,7,True,0,0,0
1,GA,21,3854.0,9.738105297088623,2700.0,2699.43,0.0,7,7,True,0,0,0
1,GA,22,3854.0,9.41179370880127,2700.0,2700.0,0.0,7,7,True,0,0,0
1,GA,23,3850.0,9.160524845123291,2700.0,2700.0,0.0,7,7,True,0,0,0
1,GA,24,3852.0,9.075029850006104,2700.0,2700.0,0.0,7,7,True,0,0,0
1,GA,25,3852.0,9.449845552444458,2700.0,2700.29,0.0,7,7,True,0,0,0
1,GA,26,3852.0,9.058722257614136,2700.0,2700.0,0.0,7,7,True,0,0,0
1,GA,27,3850.0,9.095257043838501,2700.0,2700.0,0.0,7,7,True,0,0,0
1,GA,28,3851.0,9.841646194458008,2700.0,2699.86,0.0,7,7,True,0,0,0
1,GA,29,3854.0,9.467092514038086,2700.0,2700.29,0.0,7,7,True,0,0,0
1,GA,30,3851.0,8.743324279785156,2700.0,2700.14,0.0,7,7,True,0,0,0
1,ACO,1,3857.0,72.38607501983643,2700.0,2700.14,0.0,7,7,True,0,0,0
1,ACO,2,3878.0,83.12532210350037,2700.0,2698.0,0.0,7,7,True,0,0,0
1,ACO,3,3859.0,94.65708112716675,2700.0,2699.57,0.0,7,7,True,0,0,0
1,ACO,4,3881.1856429418317,78.29245376586914,2700.0,2703.14,0.0,7,6,True,0,0,0
1,ACO,5,3873.0,78.50776052474976,2700.0,2697.86,0.0,7,7,True,0,0,0
1,ACO,6,3873.0,81.34250783920288,2700.0,2703.29,0.0,7,7,True,0,0,0
1,ACO,7,3876.0,81.29772186279297,2700.0,2701.43,0.0,7,7,True,0,0,0
1,ACO,8,3871.0,90.72247958183289,2700.0,2701.57,0.0,7,7,True,0,0,0
1,ACO,9,3897.0,95.64183497428894,2700.0,2697.0,0.0,7,7,True,0,0,0
1,ACO,10,3873.0,91.11316967010498,2700.0,2697.86,0.0,7,7,True,0,0,0
